SMILES,log2VDss,log2VDss_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
COc1cc2c(CCN[C@]23CS[C@H]4[C@H]5[C@@H]6N(C)[C@@H](Cc7cc(C)c(OC)c(O)c67)[C@H](O)N5[C@@H](COC3=O)c8c9OCOc9c(C)c(OC(=O)C)c48)cc1O,4.643856189774724,3.152227656518532,Trabectedin,114899-77-3,25.0,12.0,0.06,35.0,44.0,"Lau L, Supko JG, Blaney S, Harshon L, Seibel N, Krailo M, Qu W, Malkin D, Jimeno J, Bernstein M, and Baruchel S (2005) A phase I and pharmacokinetic study of ecteinascidin-743 (Yondelis) in children with refractory solid tumors.  A children's oncology group study.  Clin. Canc. Res.  11: 672-677. ppb: Jan Handrick Beumer, L. Lopez-Lazaro, Jan H.M. Schellens, Jos H. Beijnen, Olaf van Tellingen. Evaluation of Human Plasma Protein Binding of Trabectedin (Yondelis™,ET-743). Current Clinical Pharmacology, 2009, 4, 38-42",Note: Pharmacokinetic data were determined in children.,,1987,761.84,14,4,168.7,4,cationic,1.8,1.2
COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN4CCOCC4,4.523561956057013,3.399698609195812,Gefitinib,184475-35-2,23.0,12.0,0.0889999999999999,32.0,34.0,"Swaisland, HC, Smith RP, Laight A, Kerr DJ, Ranson M, Wilder-Smith CH, and Duvauchelle T (2005) Single-dose clinical pharmacokinetics studies of gefitinib.  Clin. Pharmacokinet. 44: 1165-1177.  McKillop D, Hutchison M, Partridge EA, Bushby N, Cooper CMF, Clarkson-Jones JA, Herron W, and Swaisland HC (2004) Metabolic disposition of gefitinib, an epidermal growth factor receptor tyrosine kinase inhibitor, in rat, dog and man.  Xenobiotica 34: 917-934",,,1986,446.9,7,1,68.7,8,cationic,4.3,3.9
COc1ccc(Cl)cc1[C@]2(F)C(=O)Nc3cc(ccc23)C(F)(F)F,3.321928094887362,1.755692827485635,Maxipost,187523-35-9,10.0,15.0,0.0038,11.0,37.0,"Zhang D, Krishna R, Wang L, Zeng J, Mitroka J, Dai R, Narasimhan N, Reeves RA, Srinivas NR, and Klunk LJ (2005) Metabolism, pharmacokinetics, and protein covalent binding of radiolabeled maxipost (BMS-204352) in humans.  Drug Metab. Dispos. 33: 83-93.  Krishna R, Yao M, Kaczor D, Vachharajani N, and Srinivas NR. (2001) In vitro protein binding studies with BMS-204352: lack of protein binding displacement interaction in human serum.  Biopharm. Drug Dispos. 22: 41-44.",Flindokalner. BMS-204352,,1997,359.7,3,1,38.3,2,anionic,4.1,2.5
CS(=O)(=O)Nc1cc2c(c(oc2cc1)CCCC)C(=O)c1ccc(cc1)OCCCN(CCCC)CCCC,4.321928094887363,2.783557290571813,Dronedarone,141626-36-0,20.0,33.33,0.02,10.0,16.0,PDR. Accessed February 20 2013. http://www.pdr3d.com/detail.php?c=77881#section-14,MRT from VDss and Cl. 70 kg assumed. Ppb > 98%,,1992,556.76,7,1,89.1,18,zwitterionic,7.3,4.7
CSCCNc1nc(SCCC(F)(F)F)nc2n([C@@H]3O[C@@H]([C@H]([C@H]3O)O)CO[P@@](O[P@@](O)(=O)C(Cl)(P(O)(O)=O)Cl)(O)=O)cnc12,-4.836501267717121,-3.76778277797037,Cangrelor,163706-06-7,0.035,9.06,0.02,0.07,0.14," Akers Wendell S; Oh Jennifer J; Oestreich Julie H; Ferraris Suellen; Wethington Mary; Steinhubl Steven R. Pharmacokinetics and Pharmacodynamics of a Bolus and Infusion of Cangrelor: A Direct, Parenteral P2Y12 Receptor Antagonist. Journal of clinical pharmacology (2010), 50(1), 27-35.//ppb: https://www.accessdata.fda.gov/drugsatfda_docs/nda/2015/204958orig1s000clinpharmr.pdf. Accessed July 12 2017.","Digitized and then averaged from two groups. N=10 and N=9. 81 kg average with total dose 10 677 ug, and 79 kg average with total dose 20704 ug, respectively.",,1994,776.36,17,7,255.9,15,anionic,-1.4,-8.6
C[C@@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(=N)N)NS(=O)(=O)c2cccc3CC(C)CNc23,-2.5563933485243853,-1.475325763147222,Argatroban,74863-84-6,0.17,5.0,0.46,0.57,0.4,"Hauptmann, J. Pharmacokinetics of an emerging new class of anticoagulant/antithrombotic drugs A review of small-molecule thrombin inhibitors. Eur J Clin Pharmacol  2002, 57,  751-758. ppb: The PDR states: Argatroban is 54% bound to human serum proteins, with binding to albumin and α1 – acid glycoprotein being 20% and 34%, respectively. Accessed January 7 2015. http://www.pdr3d.com/detail.php?c=135305#section-12.",,,1980,508.63,11,6,177.7,10,zwitterionic,1.5,-0.84
C[C@@H]1CC[C@H]2[C@@H](C)[C@H](OC(=O)CCC(=O)O)O[C@@H]3O[C@@]4(C)CC[C@@H]1[C@@]23OO4,3.906890595608519,2.2700043840775224,Artesunate,88495-63-0,15.0,1070.0,0.25,0.32,0.22,"Newton PN, Barnes KI, Smith PJ, Evans AC, Chierakul, W, Ruangveerayuth R, and WhiteNJ (2006) The pharmacokinetics of intravenous artesunate in adults with severe falciparum malaria.    Eur. J. Clin. Pharmacol.  62: 1003-1009.  Li Q, Xie LH, Haeberle A, Zhang J, and Weina P (2006) The evaluation of radiolabeled artesunate on tissue distribution in rats and protein binding in humans.  Am. J. Trop. Med. Hyg. 75: 817-826.",,,1982,384.42,8,1,100.5,5,neutral,3.0,2.9
Fc1ccc(cc1)[C@@H]2CCNC[C@H]2COc3ccc4OCOc4c3,4.169925001442312,3.10779907896424,Paroxetine,61869-08-7,18.0,18.0,0.06,17.0,13.0,"Lund J, Thayssen P, Mengel H, Pedersen OI, Kristensen CB, and Gram LF (1982) Paroxetine: pharmacokinetics and cardiovascular effects after oral and intravenous single doses in man.  Acta Pharmacol. Toxicol. 51: 351-357.  Paxil Product Label.",VDss was calculated from micro rate constants reported in the reference.,,1978,329.37,4,1,39.7,4,cationic,3.8,1.5
"N1(C([C@@H](NC([C@@H](NC([C@@H](NC([C@@H](NC(=O)CCCC(C)C)C(C)C)=O)[C@H](O)C)=O)C(C)C)=O)C(C)C)=O)[C@@H](C(N[C@H](C(N[C@@H](C(N[C@@H]2C(N[C@@H](C(N[C@H](C(N[C@@H](Cc3ccccc3)C(N\C(C(N[C@H](C(O[C@@H]2C)=O)C(C)C)=O)=C/C)=O)=O)C(C)C)=O)[C@H](CC)C)=O)=O)[C@H](CC)C)=O)CCCN)=O)CCC1
",-3.1844245711374275,-1.9988404448178667,Kahalide F,149204-42-2,0.11,3.9,,0.48,0.57,"Jeany M. Rademaker-Lakhai, Simon Horenblas,Willem Meinhardt, Ellen Stokvis,Theo M. de Reijke, Jose´ M. Jimeno,Luis Lopez-Lazaro, Jose´ A. Lopez Martin, Jos H. Beijnen, Jan H.M. Schellens.Phase I Clinical and Pharmacokinetic Study of Kahalalide F in Patients with Advanced Androgen Refractory Prostate Cancer. Clin Cancer Res. 2005, Vol. 11, 1854–1862.",Average weight taken as 70 kg. Weighted average of multiple doses. From 320 to 930 ug/m2/d. N=28 overall. MRT from VDss and clearance. Somewhat lower clearance and VDss at higher doses (> 560 ug/m2/d) but all averaged.,,1993,1477.87,30,14,442.1,33,cationic,5.8,3.4
N12[C@@]([C@H]3N(CCC3)C([C@@H]1Cc1ccccc1)=O)(O[C@](NC([C@@H]1C[C@@H]3c4c5c(c[nH]c5ccc4)C[C@H]3[N@@](C1)C)=O)(C)C2=O)O,-1.5994620704162712,-0.4576737385981323,Dihydroergotamine,511-12-6,0.33,15.07,0.07,0.36,0.55,"J. KANTO, H. ALLONEN, K. KOSKI, M. KOULU, R. LAMMINTAUSTA, R. MANTYLA, T. KLEIMOLA, and T. SIlRTOLA. Pharmacokinetics of dihydroergotamine in healthy volunteers and in neuroiogical patients after a single intravenous injection. ppb: https://www.accessdata.fda.gov/drugsatfda_docs/label/2002/20148s7s8lbl.pdf. Accessed May 10 2017.","N=5, 70 kg average weight reported, 1 mg dose. MRT from clearance and VDss. Data were also digitized and, although the digitization was difficult, the VDss is very close to reported with a clearance somewhat inferior but within 20%. The data reported were deemed more reliable than those in Little et al and Wyss et al.","Data from Wysss et all seems inconsistent with labeling of plot and results after digitization. P. A. Wyss, J. Rosenthaler, E. Niiesch, and W. H. Aellig. Pharmacokinetic investigation of oral and IV dihydroergotamine in healthy subjects. Eur. J. Clin. Pharmacol. 1991 41, 597-602. Intially digitized and then discarded. Similarly, data digitized from Little et al. seemed to agree with Kanto et al but differed (~25% in clearance) even when the AUC was corrected to being only 10% different fom the data reported by Little and co-authors. Br. J. Clin. Pharmacol. 1982, 13 785-790.",1942,583.68,10,3,118.2,4,cationic,3.8,3.3
NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1,5.727920454563199,3.893275205599145,Pentamidine,100-33-4,53.0,74.0,0.09,12.0,25.0,"Conte JE, Duncan S, McKenna E, and Zurlinden E (1999) Effect of gender and race on the pharmacokinetics of pentamidine in HIV-infected patients.  Clin, Drug Invest. 17: 293-299.   fu from Lombardo et al J. Clin. Pharmacol. 2013, 53(2), 167-177 and 178-191. ppb: Sihyung Yang,Tanja Wenzler,Patrik N. Miller, Huali Wu,David W. Boykin, Reto Brun Michael Zhuo Wang Pharmacokinetic Comparison To Determine the Mechanisms Underlying the Differential Efficacies of Cationic Diamidines against First- and Second-Stage Human African Trypanosomiasis. Antimicrobial Agents and Chemotherapy 2014, 58, 4064-4074",,,1939,340.42,6,4,118.2,10,cationic,2.5,-1.2
NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,3.807354922057604,2.2842652524791136,Ribavirin,36791-04-5,14.0,5.2,1.0,45.0,45.0,"Paroni R, DelPuppo M, Borghi C, Sirtoni CR, and Galli Kienle M (1989) Pharmacokinetics of ribavirin and urinary excretion of the major metabolite 1,2,4-triazole-3-carboxamide in normal volunteers.  Int. J. Clin. Pharmacol. Ther. Toxicol. 27: 302-307.  Preston SL, Drusano GL, Glue P, Nash J, Gupta SK, and McNamara P (1999) Pharmacokinetics and absolute bioavailability of ribavirin in healthy volunteers as determined by stable-isotope methodology.  Antimic. Agents Chemother. 43: 2451-2456.  Morse GD, Shelton MJ, and O'Donnell AM (1993) Comparative pharmacokinetics of antiviral nucleoside analogues.  Clin. Pharmacokinet. 24: 101-123.",,,1962,244.2,9,4,143.7,3,neutral,-2.8,-2.8
NCCCC[C@H](NC(=O)[C@@H](Cc1cc(Br)c(O)c(Br)c1)NC(=O)N2CCC(CC2)N3Cc4ccccc4NC3=O)C(=O)N5CCN(CC5)c6ccncc6,-1.6896598793878497,-0.5180961333755326,Olcegepant,204697-65-4,0.31,2.6,,1.9,2.5,"Iovino M, Feifel U, Yong CL, Wolters JM, and Wallenstein G (2004) Safety, tolerability and pharmacokinetics of BIBN 4096 BS, the first selective small molecule calcitonin gene-related peptide receptor antagonist, following single intravenous administration in healthy volunteers.    Cephalalgia 24: 645-56.",,,1998,869.65,14,5,176.5,12,cationic,4.1,2.2
NCCCNc1ccc2c(CNCCO)nn3c4c(O)ccc(O)c4C(=O)c1c23,3.584962500721156,2.476439662008608,KW-2170,207862-44-0,12.0,18.0,,11.0,32.0,"Saeki T, Eguchi K, Takashima S, Sugiura T, Hida T, Horikoshi N, Aiba K, Kuwabara T, and Ogawa M (2004) Phase I and pharmacokinetic study of KW-2170, a novel pyrazoloacridone compound, in patients with malignant tumors.  Cancer Chemother. Pharmacol.  54: 459-468.",,,1998,397.43,9,6,145.7,8,cationic,-0.21,-3.6
N[C@@H]1[C@@H]([C@@H](O[C@H](O[C@@H]2c3c(O)c4C(=O)c5c(OC)cccc5C(=O)c4c(O)c3C[C@@](C2)(O)C(CO)=O)C1)C)O[C@@H]1CCCCO1,5.4329594072761065,3.905634687382398,Pirarubicin,72496-41-4,43.2,57.7,,12.5,11.1,"Dominique Marchiset-Leca,  Francois-Ren, Leca Anne Galeani, Alex Noble, Jacques Catalin Pharmacokinetics and metabolism of pirarubicin in humans: correlation with pharmacodynamics Cancer Chemother Pharmacol (1995) 36:239 243, 1995","Essentially a prodrug of doxorubicin. 80 courses of therapy over 27 patients. 1.73 m2/70 kg used as conversion factor. 25 to 50 mg/m2 in an average of 10 min infusion (5-15 min). Also, Nagasawa et al, J. Pharmacobio-Dynam., 1991, 14, 422-430. Data in 10 pediatric patients in agreement with cited paper.",Based on ratio of metabolites and parent in plasma. No excretion data available.,1978,627.64,13,5,204.3,7,zwitterionic,1.7,1.3
Nc1nc(N)c2nc(c(N)nc2n1)c3ccccc3,3.700439718141092,2.4291776069500908,Triamterene,396-01-0,13.0,63.0,0.42,3.4,4.3,"Gilfrich HJ, Kremer G, Mohrke W, Mutschler E, and Volger KD (1983) Pharmacokinetics of triamterene after i.v. administration to man: determination of bioavailability.  Eur. J. Clin. Pharmacol. 25: 237-241.  Hasegawa J, Lin ET, Williams RL, Sorgel F, and Benet LZ  (1982) Pharmacokinetics of triamterene and its metabolite in man.  J. Pharmacokinet. Biopharm. 10: 507-523.",,,1954,253.26,7,3,129.6,1,neutral,1.1,1.1
O(C(=O)C(c1sccc1)(O)c1cccs1)C1C[C@@H]2[C@H]3O[C@H]3[C@H](C1)[N+]2(C)C,5.0,3.034890494267332,Tiotropium,186691-13-4,32.0,12.6,0.28,42.3,,"Tiotropium Bromide Monohydrate - FDA Approval Package
Label 021395/S-014. See also, Tiotropium Bromide Monohydrate - FDA Approval Package
Clinical Pharmacology and Biopharmaceutics Review 021395/S-000 Part 01. Accessed through Pharmapendium.",Structure and smiles refer to cation. 70 kg average weight assumed. MRT from VDss and clearance. T1/2 estimated between 5-6 days (~ 132 hours),"Tiotropium Bromide Monohydrate - FDA Approval Package
Label 021395/S-014. Accessed through Pharmapendium. 74% excreted unchanged.",1997,392.51,5,1,59.1,5,neutral,-2.3,-2.3
O(C)c1c2c3c(c(c1OC)Br)CCN([C@H]3Cc1cc(c(cc1)OC)Oc1ccc(C[C@H]3c4cc(O2)c(OC)cc4CCN3C)cc1)C,5.672425341971495,3.8844850803293656,Bromotetrandrine,62067-29-2,51.0,9.6,0.22,88.2,59.4," Zheng L; Qing Y-P; Xu N; Yu Q; Wang Y; Wang F-P; Li Z-Y. Pharmacokinetics and safety of bromotetrandrine (BrTet, W198) after single-​dose intravenous administration in healthy Chinese volunteers. Journal of clinical pharmacy and therapeutics (2010), 35(1), 113-119.//ppb: Xiao SH, Wei GL, Lu R, Liu CX, Wang FP. Pharmacokinetics of bromotetrandrin (W198) in rats and beagle dogs. Yao Xue Xue Bao. 2004, 39, 301-304. ","Data digitized from plot reported. N=10, 30 mg/m2 dose only. AUC reported 1311.3 ug.h/L. Calculated AUC 1279.4 ng.h/mL. From ppb reference (abstract): The plasma protein binding ratio of W198 with human serum protein was 78.0%.",,1977,701.65,8,0,61.9,4,cationic,8.3,7.2
O([C@@H]1[C@@H]([C@H]([C@H](O[C@@H]2[C@H](O[C@@H](OC[C@@H]([C@@H](\C=C\CCCCCCCCCCCCC)O)NC(CCCCCCCCCCCCCCCCC)=O)[C@@H]([C@H]2O)O)CO)O[C@@H]1CO)O)OC[C@@H]([C@@H]([C@H]1[C@@H]([C@H](C[C@](O1)(C(O)=O)O)O)NC(C)=O)O)O)[C@H]1[C@@H]([C@H]([C@@H](O)[C@H](O1)CO)O[C@@H]1O[C@@H]([C@H](O)[C@@H]([C@H]1O)O)CO)NC(C)=O,-3.8365012677171206,-2.829558651373569,Ganglioside GM1,37758-47-7,0.07,0.02,,55.0,77.4,"Rost, K. Ludwig; Brockmoeller, Juergen; Weber, Willi; Roots, Ivar. Multiple-dose pharmacokinetics of ganglioside GM1 after intravenous and intramuscular administration to
healthy volunteers. Clin. Pharmacol. Ther. 1991, 50, 141-149.","Ganglioside A2. Ganglioside G4. Ganglioside GM1A. N=3 subjects, 21 d dosing at 100 mg/day iv. 68.8 kg average weight. No data reported but indication that the compound is very highly bound to plasma proteins.",,1969,1546.82,34,20,540.6,52,anionic,-0.53,-4.0
O=C(Cc1csc(N)n1)Nc3ccc(CCNC[C@H](O)c2ccccc2)cc3,4.572889668420581,3.2225517051043884,Mirabegron,223673-61-8,23.8,13.6,0.29,29.3,50.0,"Mirabegron, prescribing information. PDR. Accessed July 31 2014. http://www.pdr3d.com/detail.php?c=91002#section-12","Assumed 70 kg as average weight.MRT from VDss and clearance.  See also:  Eltink, Charlotte et al. Int. J.  Clin. Pharmacol. Ther., 2012, 50, 838-849.",,1999,396.51,6,4,100.3,9,cationic,1.8,0.34
O=C1N(CCCCNC[C@H]2CCc3ccccc3O2)S(=O)(=O)c4ccccc14,-2.251538766995965,-0.8423578323009128,Repinotan,144980-29-0,0.21,2.2,,1.6,1.2,"Heining R,  Sundaresan P, Shah A and Boettcher M (2005) Effect of Gender and Age on the Pharmacokinetics of Repinotan.  Clin. Drug. Invest. 25: 125-134.  ",,,1992,400.49,6,1,75.7,7,cationic,3.9,3.5
OC(CCN1CCCC1)(C2CCCCC2)c3ccccc3,-0.4344028241457749,0.763688776278409,Procyclidine,77-37-2,0.74,0.86,,14.0,12.0,"Whiteman PD, Fowle ASE, Hamilton MJ, Peck AW, Bye A, dean K, and Webster A (1985) Pharmacokinetics and pharmacodynamics of procyclidine in man.  Eur. J. Clin. Pharmacol. 28: 73-78.",VDss calculated from digitized C vs t plot.,,1951,287.44,2,1,23.5,5,cationic,4.2,2.2
OC(Cc1cccnc1)(P(=O)(O)O)P(=O)(O)O,2.655351828612554,1.4392156032304635,Risedronic acid (Risedronate),105462-24-6,6.3,1.5,0.76,70.0,200.0,"Mitchell DY, Barr WH, Eusebio RA, Stevens KAP, Duke FP, Russell DA, Nesbitt JD, Powell JH, and Thompson GA (2001) Risedronate pharmacokinetics and intra- and inter-subject variability upon single-dose intravenous and oral administration.  Pharm. Res. 18: 166-170.  See als:  Actonel Product Label. PDR. Accessed July 29 2014. http://www.pdr3d.com/detail.php?c=26372#section-13",,,1986,283.11,8,5,148.2,4,anionic,-2.2,-7.0
OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,3.584962500721156,2.21400345088462,Mitoxantrone,65271-80-9,12.0,7.9,0.25,25.0,53.0,"Canal P, Attal M, Chatelut E, Guichard S, Huguet F, Muller C, Schlaifer D, Laurent G, Houin G, and Bugat R (1993) Plasma and cellular pharmacokinetics of mitoxantrone in high dose chemotherapeutic regimen for refractory lymphomas.  Canc. Res. 53: 4850-4854.  Scott LJ and Figgitt DP (2004) Mitoxantrone: a review of its use in multiple sclerosis.  CNS Drugs 18: 379-396.",,,1952,444.48,10,8,163.2,12,cationic,-0.37,-3.2
OC[C@@H](O)[C@@H](O)[C@H](O[C@H](C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](C)C(=O)NCCOP(O)(=O)OC[C@@H](COC(=O)CCCCCCCCCCCCCCC)OC(=O)CCCCCCCCCCCCCCC)C(N)=O)[C@H](C=O)NC(C)=O,2.5360529002402097,1.092146835626897,Mifamurtide,83461-56-7,5.8,48.7,,1.98,2.05,"Karthik Venkatakrishnan,William G. Kramer, Timothy W. Synold, Daniel B. Goodman ,Evin Sides III, Cristina Oliva. A pharmacokinetic, pharmacodynamic,
and electrocardiographic study of liposomal mifamurtide
(L-MTP-PE) in healthy adult volunteers.  J Clin Pharmacol (2012) 68:1347–1355.",MTP-PE. Open form (sugar) reported by Scifinder and ChemIDPlus. Data reported in L and L/m2 (or corresponding units for clearance). 70 kg assumed. 4 mg dose in 30 minutes infusion. N=21. Liposomal preparation. MEPACT (approved in Europe),,1982,1237.5,25,10,383.9,58,anionic,4.9,1.4
O[C@@H]1[C@@H](C[C@](O)(C[C@H]1OC(=O)\C=C\c2ccc(O)c(O)c2)C(=O)O)OC(=O)\C=C\c3ccc(O)c(O)c3,2.269033146455237,1.0298547882991231,"3,5-DCQA",2450-53-5,4.82,75.81,,1.05,3.17,"Wen-Zheng Ju,Yang Zhao,Fang Liu,Ting Wua,Jun Zhang,Shi-Jia Liu,Lin gZhou,Guo-Liang Dai,Ning-Ning Xiong,Zhu-Yuan Fang. Clinical tolerability and pharmacokinetics of Erigerontis hydroxybenzene injection: Results of a randomized phase I study in healthy Chinese volunteers. Phytomed. 2015, 22, 319–325","3,5-dicaffeoylquinic acid. Data digitized from plot reported.  All from average males/females. 6 vials EH product tested for content via HPLC. 16.44 mg total dose, N=6, 57 kg average weight. 1 hr infusion. All AUCinf data within 10% of reported.",,1963,516.45,12,7,211.3,9,anionic,2.6,-1.1
Oc1ccc2c(Oc3cc(O)ccc3C24OC(=O)c5ccccc45)c1,-2.8365012677171206,-1.6244510017690346,Fluorescein,2321-07-5,0.14,1.3,0.11,1.8,1.6,"Larsen M, Loft S, Hommel E, and Lund-Andersen H (1988) Fluorescein and fluorescein glucuronide in plasma after intravenous injection of fluorescein.  Acta Opthamol. 66: 427-432.  ",Pharmacokinetic parameters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1931,332.31,5,2,76.0,0,neutral,3.9,3.9
[H]C#CCCCC(c1cc(c(c(c1)C(C)(C)C)O[H])C(C)(C)C)=O,3.584962500721156,2.300621304336589,Tebufelone,112018-00-5,12.0,8.9,,22.3,50.7,"Cruze CA, Kelm GR, Meredith MP (1995) Interspecies scaling of tebufelone pharmacokinetic data and application to preclinical toxicology. Pharm. Res. 12, 895-901.","Data digitized from Dedrick-like plot reported. AUC reported 579 ng.h.mL-1; clearance reported 9.87 mL.min-1.kg-1.  These data refer to the corrected t and C data for human. 25 mg dose and 72.9 average weight.
",,1987,300.44,2,1,37.3,6,neutral,5.4,5.4
[H]OC(CCCOCC=C1C[C@H]2C[C@H]([C@@H](C#C[C@H]([C@@H](C)CC#CCC)O[H])[C@H]2C1)O[H])=O,1.263034405833794,0.2445046664060958,Eptaloprost,90693-76-8,2.4,66.2,,0.59,0.41,"Hildebrand M, Inter-species Extrapolation of Pharmacokinetic Data of Three Procyclin-Mimetics, Prostaglandins, 1994, 48, 297-312."," t1/2=0.693/kel. 
Data reported and used for allometric scaling were taken from other publications by the same author.",,1984,402.52,5,3,87.0,15,anionic,3.0,0.22
[H]OC[C@@H](C(=O)OC1C[C@@H]2CC[C@H](C1)[N+]2(C)C(C)C)c1ccccc1,2.350497247084133,1.3222571358423678,Ipratropium,60205-81-4,5.1,31.4,0.95,2.7,1.64,"Ensing K., de Zeeuw R.A., Nossent  G.D., Koeter G.H, Cornelissen, P.J.G. et al. ( 1989)  Pharmacokinetics of ipratropium bromide after single dose inhalation and oral and intravenous administration. Eur. J. Clin. Pharmacol. 36, 189-194.   fu from Lombardo et al J. Clin. Pharmacol. 2013, 53(2), 167-177 and 178-191","N=10, 74 kg average weight VDss calculated as sum of Vc, Valpha and Vbeta reported. 2 mg/dose administered in 20'. ",,1962,332.46,4,1,46.5,7,neutral,-0.72,-0.72
c1(N(CC)CC)cc2oc(C(Nc3ccc4c(c3)cc([nH]4)C(N3C[C@H](c4c5c([nH]cc5C)c(OC(=O)Nc5ccccc5)cc34)CCl)=O)=O)cc2cc1,-3.473931188332412,-2.373974174780133,Carzelesin,119813-10-4,0.09,2.9,,0.51,0.48,"Data as average of two different single patient profiles (N=2):   (1) Van Tellingen, Olaf; Nooijen, Willem J.; Schaaf, Larry J.; Van Der Valk, Martin; Van Asperen, Judith; Henrar, Roland E. C.; Beijnen, Jos H. Comparative pharmacology of the novel cyclopropylpyrroloindole-​prodrug carzelesin in mice, rats, and humans. Cancer Research (1998), 58(11), 2410-2416.     (2) van Tellingen O, Punt CJ, Awada A, Wagener DJ, Piccart MJ, Groot Y, Schaaf LJ, Henrar RE, Nooijen WJ, Beijnen JH. A clinical pharmacokinetics study of carzelesin given by short-term intravenous infusion in a phase I study. Cancer Chemother Pharmacol. 1998;41(5):377–384."," (1) data digitized from Fig. 4.  Dose 300 ug/m2 (0.0075 mg/kg), infusion T=10 min, N=1*. (2) data digitized from Fig. 5 (dose 210 ug/m2 (0.00525 mg/kg), infusion T=10 min, N=1**.
* reported data: see Table 4 (data seems to be for 3 patients (N=3) presented in Table 1 in van Tellingen O. et al, Cancer Chemother Pharmacol, 1998, 41, 377-384). The actual digitized values (AUC, CL, ...) seem to agree with the values reported for the last patient in Table 1.
** 48th patient in Table 1, reported data: see Table 1 where the AUC, CL, half times, ... for all patients are reported (CL = 0.29 L/h/kg)",,1988,729.22,11,4,136.0,10,neutral,7.7,7.7
c1(\C(CCCCOC)=N\OCCN)ccc(C(F)(F)F)cc1,4.554588851677638,3.5501999019169075,Fluvoxamine,54739-18-3,23.5,31.95,0.2,12.26,12.5,"J. van Harten, F. Kok, A. Lönnebo  and A. Grahnén. Pharmacokinetics of fluvoxamine after intravenous and oral administration. Eur. Neuropsychopharmacology, 1994, 4, 331.","Average of two doses, N=17 per dose, 70 kg/average weight assumed. 10 and 30 mg doses as iv infusion in 60 minutes. Clearance from dose/AUC, then averaged. MRT from VDss and clearance. ","Ppb from PDR label. Absolute BA from paper 53% (po dose 50 mg, crossover with iv doses)",1977,318.33,4,1,56.8,9,cationic,3.1,1.2
c1(\C=C\C(NCCO)=O)ccccc1,-3.1844245711374275,-1.9791122737183116,Idrocilamide,6961-46-2,0.11,0.99,,1.93,1.35,"H. Maier-Lenz, L. Ringelski, A. Windhorfer zur.Pharmakokinetik nnd Bioverfiigba1·keit des Myotonolytikums N-(Hydroxy-2-athyl)-cinnarnid. Arzneim.-Forsch. 1980, 30, 1813-1816.","LCB-29. Brolitene. N=10, 60 mg iv dose, 68 kg average weight
Reported AUC = 11.31 +/- 4.9 ug.hr/mL AUC computed as  14.8 ug.h/mL from plot digitization but within sd and thus accepted.
lambda z = 0.7 hr-1
VD reported = 7.4 L",,1948,191.23,3,2,49.3,4,neutral,0.86,0.86
c1(ccc(cc1)CCCCCCCC)CCC(CO)(N)CO,4.112700132749362,3.0717052878468003,Fingolimod,162359-55-9,17.3,1.53,0.002,189.0,144.0,"PP. Fingolimod Hydrochloride - FDA Approval Package
Pharmacology Review 022527/S-000 Part 04","MRT from VDss and Cl. N=11, (5M/6F) 1 mg dose iv injection, reported average weight 69.1 kg. Reported source, study A0108. ppb reported as 99.7 to 99.9% across species. 99.8% taken","PDR. Accessed February 21 2013. http://www.pdr3d.com/detail.php?c=64159#section-13.  After oral administration, about 81% of the dose is slowly excreted in the urine as inactive metabolites. Fingolimod and fingolimod-phosphate are not excreted intact in urine but are the major components in the feces with amounts of each representing less than 2.5% of the dose. ",1994,307.47,3,3,66.5,12,cationic,3.7,2.6
c1(cccc2c1C(c1c(O)c3c(c(c1C2=O)O)C[C@](C(CO)=O)(O)C[C@@H]3O[C@H]1C[C@@H]([C@@H]([C@@H](O1)C)O)[N@]1CCO[C@@H](C1)OC)=O)OC,5.614709844115208,4.518262989914922,Nemorubicin,108852-90-0,49.0,15.32,,53.3,49.2,"M Bakker, JP Droz, AR Hanauske, J Verweij, AT van Oosterom, HJM Groen, MA Pacciarini, L Domenigoni, F van Weissenbruch, E Pianezzola, EGE de Vries. Broad phase 11 and pharmacokinetic study of methoxy-morpholino doxorubicin (FCE 23762-MMRDX) in non-small-cell lung cancer, renal cancer and other solid tumour patients. British Journal of Cancer 1998 77, 139-146.","FCE23762.  PNU-152243A, MMRDX. 1.5 mg/m2, N=11, 1.73 m2/70 kg factor used. Data from Table 5.",,1986,643.64,14,5,201.7,7,neutral,0.75,0.59
