SMILES,log2CL,log2CL_pred,Name,CAS #,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
CC[C@H](C)[C@@H]([C@@H](CC(=O)N1CCC[C@H]1[C@@H]([C@@H](C)C(=O)NCCc2ccccc2)OC)OC)N(C)C(=O)[C@H](C(C)C)NC(=O)[C@H](C(C)C)N(C)C,0.6780719051126377,2.7301834,Soblidotin,149606-27-9,0.42,1.6,,4.6,5.67,"Nobuyuki Yamamoto,Masahiro Andoh,Masaaki Kawahara,Masahiro Fukuoka, Hisanobu Niitani. Phase I study of TZT-1027, a novel synthetic dolastatin 10 derivative and inhibitor of tubulin polymerization, given weekly to advanced solid tumor patients for 3 weeks. Cancer Sci 2009; 100: 316–321. // J. Horti · E. Juhasz · Z. Monostori · K. Maeda · S. Eckhardt · I. Bodrogi.  Phase I study of TZT-1027, a novel synthetic dolastatin 10 derivative, for the treatment of patients with non-small cell lung cancer. Cancer Chemother Pharmacol (2008) 62:173–180","TZT-1027. VDss from clearance and MRT in both cases. Some trend toward lower clearance at higher doses in both reports. However, fairly contained. Very similar number of patient in each cohort across many doses in both studies. NOT WEIGHT AVERAGED.",,1993,701.98,11,2,120.5,20,neutral,3.9,3.8
CC[C@H](C)[C@H](NC(=O)[C@@H]1CCCN1C(=O)CNC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CO)NC(=O)[C@H](CO)NC(=O)[C@H](Cc1cnc[nH]1)NC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@H](CS)NC(=O)[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CS)NC(=O)[C@@H](N)CCCCN)[C@@H](C)O)[C@@H](C)O)[C@@H](C)O)C(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](C(C)C)C(=O)NCC(=O)N[C@@H](CO)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O,3.9354597478052895,1.3096371,Pramlintide,151126-32-8,0.41,15.3,0.4,0.5,0.6,"Pharmacokinetics and Pharmacodynamics of AC137 (25,28,29 Tripro-amylin, Human) after intravenous bolus and infusion doses in patients with insuline-dependent diabetes. W. A. Colburn, Gottlieb, AB, Koda J., Koltermann, OG. J. Clin. Pharmacol. 1996, 36, 13-24. ppb: The PDR states: SYMLIN does not extensively bind to red blood cells or albumin (approximately 40% of the drug is unbound in plasma). Accessed January 8 2015. http://www.pdr3d.com/detail.php?c=133005#section-14","AC-137, Triproamylin, Symlin.  N=24, avg weight 76.5 kg. Dose range 30-300 ug iv bolus and 30-300 ug 2 hr infusion 
Data from two-compartment constants in Table II (ug/mL corrected units have been used)",,1993,3951.41,104,56,1690.6,122,cationic,-9.0,-9.0
CC[C@H](C)[C@H](NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)CNC(=O)[C@H](CC(C=CC=C1)=C1)NC(=O)[C@H](CSSC[C@H](NC(=O)CNC(=O)[C@H](CC(C)C)N1)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CC(=CNC2)N=2)C(=O)O)C(C)C)NC(=O)CNC(=O)[C@H](CO)NC(=O)CNC(=O)[C@H](CCC(N)=O)NC(=O)[C@@H](NC(=O)[C@H](CCSC)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCC2)N2C(=O)[C@@H](N)CO)C(C)C)C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(NCC1=O)=O)CO)=O)CO)=O)CO)=O)CO)=O,3.2016338611696504,1.6516111,Nesiritide,124584-08-3,0.19,9.2,,0.3,0.3,PDRprescribing information. Accessed July 31 2014. http://www.pdr3d.com/detail.php?c=114674#section-12,"In patients with heart failure (HF), NATRECOR® administered intravenously by infusion or bolus exhibits biphasic disposition from the plasma. The mean terminal elimination half-life (t1/2) of nesiritide is approximately 18 minutes and was associated with approximately 2/3 of the area-under-the-curve (AUC). The mean initial elimination phase was estimated to be approximately 2 minutes. In these patients, the mean volume of distribution of the central compartment (Vc) of nesiritide was estimated to be 0.073 L/kg, the mean steady-state volume of distribution (Vss) was 0.19 L/kg, and the mean clearance (CL) was approximately 9.2 mL/min/kg. MRT from Vss and Cl.",,1989,3464.04,92,56,1512.7,91,cationic,-9.0,-9.0
CC[C@H](CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)C,-5.643856189774724,2.303556,"Sitosterol, β-",83-46-5,0.3,0.02,,250.0,372.4,"Duchateau, Guus; Cochrane, Brett; Windebank, Sam; Herudzinska, Justyna; Sanghera, Davindera; Burian, Angela; Mueller, Markus; Zeitlinger, Markus; Lappin, Graham. Absolute oral bioavailability and metabolic turnover of β-​sitosterol in healthy subjects. Drug Metab. Disp. 2012, 40, 2026-2030.","Nimbosterol. Betaprost. Angelicin. N=6, male volunteers. 2.9 to 4.2 ug doses. 70 kg assumed as average weight. MRT from clearance and VDss.",,1908,414.71,1,1,20.2,6,neutral,9.0,9.0
CC[C@H](Cc1c(ccs1)Cl)Nc2c3ccn(c3ncn2)[C@@H]4C[C@@H]([C@H]([C@H]4O)O)C(=O)NCC,3.584962500721156,1.3594816,AMP579,213453-89-5,0.84,12.0,0.03,1.18,1.33,"Peter N. Zannikos, PharmD, PhD, Bradford K. Jensen, PhD, Bruno X. Boutouyrie, MD,
Lisa Tripp, BS, Luo Yongyi, MS, Tracy McGowan, MD, Scott A. Waldman, MD, PhD,
and Howard E. Greenberg, MD, MS. Pharmacokinetics and Safety of Single Intravenous Infusions of the Adenosine Agonist, AMP 579, in Patients with End-Stage Renal Insufficiency. Journal of Clinical Pharmacology, 2000;40:745-751","Data taken from Table II. N=6, healthy volunteers, 50 ug/kg as a 6-hour infusion. MRT from clearance and VDss. Seemingly no significant difference with renally impaired patients.",,1998,478.01,8,4,112.3,8,neutral,2.6,2.6
CC[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c3ccnc4ccc(OC)cc34,2.070389327891398,3.3680053,Dihydroquinidine,1435-55-8,2.8,4.2,0.22,11.0,5.7,"Ueda CT, Williamson BJ, and Dzindzio BS (1976) Disposition kinetics of dihydroquinidine following quinidine administration.  Res. Comm. Chem. Path. Pharmacol. 14: 215-225.  Leroyer R, Varoquaux O, Guillebastres R, Jarreau C, Normand JP, Jaillon P, Advenier C, and Pays M (1986) Study on protein binding of 3-(R)- and 3-(S)-hydroxy derivatives of quinidine and dihydroquinidine.  Therapie  41: 159-162.",,,1913,326.43,4,1,45.6,4,cationic,3.2,1.7
CC[C@H]1NC(=O)[C@@H](NC(=O)c2ncccc2O)[C@@H](C)OC(=O)[C@@H](NC(=O)[C@@H]3CC(=O)[C@H](CS[C@@H]4CN5CCC4CC5)CN3C(=O)C(Cc6ccc(cc6)N(C)C)N(C)C(=O)[C@@H]7CCCN7C1=O)c8ccccc8,4.0,1.2089748,Quinupristin,120138-50-3,0.67,16.0,0.34,0.7,0.87,"Chevalier P, Rey J, Pasquier O, Rouzier-Panis R, Harding N, and Montay G (2001) Multiple-dose pharmacokinetics and safety of two regimens of quinupristine/dalfopristin (Synercid) in healthy volunteers.  J. Clin. Pharmacol. 41: 404-414.  Bergeron M and Montay G (1997) The pharmacokinetics of quinupristin/dalfopristin in laboratory animals and in humans.  J. Antimic. Chemother. 39(Supp. A): 129-138.  Bearden DT (2004) Clinical pharmacokinetics of quinupristin/dalfopristin.  Clin. Pharmacokinet. 43: 239-252.",~16% excreated in urine and feces unchanged,,1987,1022.22,19,4,231.2,10,zwitterionic,3.0,0.59
CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](O)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)N)C1,1.1375035237499351,2.4335217,Vindesine,53643-48-4,5.0,2.2,,38.0,35.0,"Ohnuma T, Norton L, Andrejczuk A, and Holland JF (1995) Pharmacokinetics of vindesine given as an intravenous bolus and 24-hour infusion in humans. Cancer Res. 45: 464-469.  ",VDss calculated using micro rate constants provided in the reference.,,1974,753.93,12,5,164.8,7,cationic,2.3,1.5
CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1C=C[C@@]2(O)C#C,-0.3219280948873623,3.0557082,Gestodene,60282-87-3,0.46,0.8,0.023,9.6,10.0,"Tauber U, Tack JW, and Matthes H (1989) Single dose phakmacokinetics of gestodene in women after intravenous and oral administration.  Contraception 40: 461-476.    Kuhnz W, Pfeffer M,and Al-Yacoub G (1990) Protein binding of the contraceptive steroids gestodene, 3-keto-desogestrel and ethinylestradiol in human serum.  J. Steroid Biochem. 35: 313-318.  Gui LQ and Humpel M (1990) Serum protein binding characteristics of cyproterene acetate, gestodene, levonorgestrel and norethisterone in rat, rabbit, dog, monkey and man.  J. Steroid Biochem. 35: 319-326.","VDss deteremined from Cvs t data obtained by digitization of plots in Tauber, 1989.  Protein binding very different in two reports: 0.006 in Kuhnz et al vs 0.04 in Gui and Humpel; value entered is the average.",,1977,310.43,2,1,37.3,2,neutral,4.1,4.1
CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,0.84799690655495,2.9191175,Levonorgestrel,797-63-7,1.5,1.8,0.025,14.0,9.4,"Stead RJ, Grimmer SFM, Rogers SM, Back DJ, Orme MLE, Hodson ME, and Batten JC (1987) Pharmacokinetics of contraceptive steroids in patients with cystic fibrosis.  Thorax 42: 59-64.  Aviane Product Label.",,,1963,312.45,2,1,37.3,2,neutral,3.5,3.5
CC[N+](CC)(CC)CCOc1cccc(c1OCC[N+](CC)(CC)CC)OCC[N+](CC)(CC)CC,0.5945485495503542,2.2944489,Gallamine triethiodide,65-29-2,0.27,1.51,,2.98,2.52,"M.I. Ramzan, E. J. Triggs, C. A. Clarks. Pharmacokinetics studies in man with gallamine triethiodide. Eur.  J. Clin. Pharmacol. 1980, 17, 145-152.",CAS number corresponding to gallamine triethiodide used.  Iodide atoms removed to keep only SMILES for trication neuromuscular blocker.  N=14 with data entered as average of single 4 and 6 mg iv bolus dose. MRT from VDss and clearance.,,1947,510.82,6,0,27.7,21,neutral,-7.7,-7.7
CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)O[C@H]([C@@H](NC(=O)c1ccccc1)c2ccccc2)C(=O)O[C@H]3C[C@@]4(O)[C@@H](OC(=O)c5ccccc5)[C@@H]6[C@@]7(CO[C@@H]7C[C@H](O)[C@@]6(C)C(=O)[C@H](OC(=O)C)C(=C3C)C4(C)C)OC(=O)C,-5.321928094887363,1.4787756,DHA Paclitaxel,199796-52-6,0.068,0.025,0.0038,45.0,60.0,"Sparreboom A, Wolff AC, Verweij J, Zabelina Y, van Zomeren DM, McIntire GL, Swindell CS, Donehower RC, and Baker SD (2003) Disposition of docosahaenoic acid-paclitaxel, a novel taxane, in blood: in vitro and clinical pharmacokinetic studies.  Clin. Cancer Res. 9: 151-159.",Pharmacokinetic paremeters were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1997,1164.38,16,3,227.4,30,neutral,9.0,9.0
CCc1nc(N)nc(N)c1c2ccc(Cl)cc2,-4.265344566520995,1.6053178,Pyrimethamine,58-14-0,0.43,0.052,0.095,140.0,140.0,"Almond DS, Szwandt ISF, Edwards G, Lee MG, and Winstanley PA (2000) Disposition of intravenous pyrimethamine in healthy volunteers.  Antimic. Agents Chemother.  44: 1691-1693.  Cavallito JC, Nichol CA, Brenckman WD, Deangelis RL, Stickney DR, Simmons WS, and Sigel CW (1978) Lipid-soluble inhibitors of dihydrofolate reductase.  I.  Kinetics, tissue distribution, and extent of metabolism of pyrimethamine, metoprine, and etoprine in the rat, dog, and man.  Drug Metab. Dispos. 6: 329-337.  Rudy AC and Poynor WJ (1990) Binding of pyrimethamine to human plasma proteins and erythrocytes.  Pharm. Res. 7: 1055-1060.",Note: Incorrect calculations in the original paper.,,1951,248.71,4,2,77.8,2,neutral,2.9,2.7
CN(C(=O)C)c1c(I)c(NC(=O)C)c(I)c(C(=O)O)c1I,1.4329594072761065,-0.16567135,Metrizoate,1949-45-7,0.17,2.7,1.0,1.0,1.3,"Back SE, Krutzen E, and Nilsson-Ehle P (1988) Contrast media as markers for glomerular filtration: a pharmacokinetic comparison of four agents.  Scand. J. Clin. Lab Invest.  48: 247-253.",VDss calculated from C vs t data obtained by digitization of the plot provided in the reference. CAS number and structure refer to the free acid.,,1962,627.94,6,2,86.7,3,anionic,1.4,-1.9
CN(C(=O)C1=C(O)c2ccccc2N(C)C1=O)c3ccccc3,-3.608232280044003,0.45599207,Roquinimex,84088-42-6,0.21,0.082,,43.0,31.0,"Strandgarden K, Hoglund P, Nordle O, Polacek J, Wannman H, and Gunnarsson PO.(1999) Dissolution rate-limited absorption and complete bioavailability of roquinimex in man.  Biopharm. Drug Dispos. 20: 347-354. Biopharm Drug Dispos. 2000 Mar;21(2):53-67.
Absorption and disposition including enterohepatic circulation of (14C) roquinimex after oral administration to healthy volunteers.
Strandgården K, Höglund P, Grönquist L, Svensson L, Gunnarsson PO.",,,1982,308.33,5,1,60.9,2,anionic,2.4,-0.95
CN(C)C(=O)CCS[C@H](SCCC(=O)O)c1cccc(\C=C\c2ccc3ccc(Cl)cc3n2)c1,-0.5563933485243852,0.76215863,Verlukast,120443-16-5,0.11,0.68,0.0004,2.7,2.3,"Depre M, Margolskee DJ, Hseih JYK, Van Hecken A, Buntinx A, De Lepeleire I, Rogers JD, and De Schepper PJ (1992) Plasma drug profiles and tolerability of MK-571 (L-660,711), a leukotriene D4 receptor antagonist, in man.  Eur. J. Clin. Pharmacol. 43: 427-430.  Cheng H, Schwartz JI, Lin C, Amin RD, Seibold JR, Lasseter KC, Ebel DL, Tocco DJ, and Rogers JD (1994) The bioavailability and nonlinear pharmacokinetics of MK-679 in humans. Biopharm. Drug Dispos. 15: 409-418.","Parameters were determined using C vs t data obtained by digitization of the plots in the reference by Depre, et al. L-660,711 represents the compound without defined stereochemistry (except for double bond) and with CAS # 115104-28-4  ",,1987,515.09,5,1,70.5,11,anionic,5.1,1.6
CN(C)C(=O)Oc1cc(OC(=O)N(C)C)cc(c1)C(O)CNC(C)(C)C,4.169925001442312,2.2529335,Bambuterol,81732-65-2,1.6,18.0,,1.4,2.6,"Nyberg L, Rosenborg J, Weibull E, Jonsson S, Kennedy BM, and Nilsson M (1998) Pharmacokinetics of bambuterol in healthy subjects.   Br. J. Clin. Pharmacol. 45: 471-478.",,,1982,367.44,8,2,91.3,7,cationic,1.3,-0.27
CN(C)CCC(c1ccc(Cl)cc1)c2ccccn2,1.3219280948873624,2.4840038,Chlorpheniramine,132-22-9,3.3,2.5,0.7,22.0,22.0,"Huang SM, Athanikar NK, Sridhar K, Huang YC, and Chiou WL (1982) Pharmacokinetics of chlorpheniramine after intravenous and oral administration in normal adults.  Eur. J. Clin. Pharmacol. 22: 359-365.  Hiep BT, Gimenez F, Khanh V, Hung NK, Thuillier A, Farinotti R, and Fernandez C (1999) Binding of chlorpheniramine enantiomers to human plasma proteins.  Chirality 11: 501-504.",,,1949,274.79,2,0,16.1,5,cationic,3.3,1.4
CN(C)CCC=C1c2ccccc2CCc3ccccc13,2.608809242675524,4.425905,Amitriptyline,50-48-6,8.7,6.1,0.07,24.0,17.0,Jorgensen A and Hansen V (1976) Pharmacokinetics of amitriptyline infused intravenously in man.  Eur. J. Clin. Pharmacol.  10: 337-341.  Nyberg G and Maartensson E (1984) Determination of free fractions of tricyclic antidepressants.    Naunyn-Sch Arch. Pharmacol. 327: 260-265.,,,1960,277.4,1,0,3.2,3,cationic,4.6,3.3
CN(C)CCCN1c2ccccc2CCc3ccc(Cl)cc13,3.035623909730721,4.155667,Clomipramine,303-49-1,13.0,8.2,0.029,26.0,26.0,"Ollagnier M, Pellet J, Gay JP, Lang F, Ouvry MC, and Blanchon Y (1984) Pharmacocinetique d'une dose unique de clomipramine, en intraveneuse, chez le voluntaire sain.  Therapie  39: 237-245.  Nyberg G and Maartensson E (1984)  Determination of free fractions of tricyclic antidepressants.  Naunyn-Sch. Arch. Pharmacol. 327: 260-265.",Pharmacokinetic parameters were calculated from C vs t provided in the reference. ,,1961,314.85,2,0,6.5,4,cationic,5.1,3.4
CN(C)CCCNc1ncc(C)c2[nH]c3ccc4cc(O)ccc4c3c12,4.169925001442312,2.2330196,Intoplicine,125974-72-3,11.0,18.0,,11.0,19.0,"Abigerges D, Armand JP, Chabot GG, Bruno R, Bissery MC, Bayssas M, Klink-Alakl M, Clavel M, and Catimel G (1996) Phase I and pharmacology study of  intoplicine  (RP 60475; NSC 645008), a novel topoisomerase I and II inhibitor, in cancer  patients.  Anti-Cancer Drugs 7: 166-174",,,1990,348.44,5,3,64.2,5,cationic,3.8,-1.2
CN(C)CCN(Cc1cccs1)c2ccccn2,4.807354922057604,3.7164779,Thionylan (Methapyrilene),91-80-5,3.3,28.0,,2.0,1.6,"Calandre EP, Alferez N, Hassanein K, and Azarnoff DL (1981) Methapyrilene kinetics and dynamics.  Clin. Pharmacol. Ther. 29: 527-532. ",VDss calculated from C vs t data obtained by digitization of the plot included in the reference.,,1946,261.39,3,0,19.4,6,cationic,2.7,1.6
CN(C)CCNc1ccc2c3c(nn2CCNCCO)c4cnccc4C(=O)c13,4.754887502163468,2.9744039,Topixantrone,156090-18-5,57.0,27.0,,39.0,45.0,"Mross K, Scheulen ME, Licht T, Unger C, Richly H, Stern AC, Kutz K, Camboni MG, Barbieri P, Verdi E, Vincenzi B, and Bernareggi A (2004) Phase I clinical and pharmacokinetic study of BBR 3576, a novel aza-anthropyrazole, administered i.v. every 4 weeks in patients with advanced solid tumors: a phase 1 study group trial of the Central European Society of Anticancer Drug Research (CESAR).  Anti-Cancer Drugs 15: 15-22.",BBR 3576,,1994,394.47,8,3,95.3,9,cationic,0.69,-1.4
CN(C)N=Nc1ccc(cc1)C(=O)O,0.3785116232537298,1.4609259,CB 10-277,7203-91-0,0.25,1.3,,3.0,2.5,"Foster BJ, Newell DR, Carmichael J, Harris AL, Gumbrell LA, Jones M, Goodard PM, and Calvert AH (1993) Preclinical, phase I and pharmacokinetic studies with the dimethyl phenyltriazene CB10-277.  Br. J. Canc. 67: 362-368.",Parameters were calculated using C vs t data obtained by digitzation of the plot provided in the reference.,,1965,193.2,5,1,65.3,3,anionic,2.5,-0.32
CN(C)N=Nc1nc[nH]c1C(=O)N,1.3785116232537298,2.510022,Dacarbazine,4342-03-4,1.2,2.6,1.0,7.8,6.2,"Loo TL, Housholder GE, Gerulath AH, Saunders PH, and Farquhar D (1976) Mechanism of action and pharmacology studies with DITC (NSC-45388) Canc. Treatment Rep. 60: 149-152.  DITC-DOME Product Label",Parameters calculated from C vs t data obtained by digitization of a plot provided in the reference.,,1953,182.18,7,2,99.7,3,neutral,-0.12,-0.12
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)NCN4CCCC4)C(=O)c5c(O)cccc5[C@@]3(C)O,-0.043943347587597,1.8127315,Rolitetracycline,751-97-3,0.54,0.97,0.5,9.3,8.8,Dimmling T and Vanderbeke O (1975) Pharmakokinetik oral und intravenos verabreichbarer tetracyclinpraparate.  Med. Klin. 70: 279-285.  Rinati MV and Fleischmann L (1973) Legame con sieroproteine di alcune tetracicline e loro derivati idrosolubili. Cl. Terap. 71: 57-61.,Calculations made from reported C vs t data.  Plasma concentrations were determined using bioassay.,,1957,527.57,11,6,170.9,4,cationic,0.097,-4.1
CN(CC(=O)N)C(=O)N(CCCl)N=O,3.169925001442312,2.022993,SarCNU,81965-43-7,0.76,9.0,,1.4,1.0,"Panasci L, Stinson SF, Melnychuk D, Sandor V, Miller WH, Batist G, Patenaudr F, Bangash N, Panarello L, Alaoui-Jamali M, and Sausville E (2003) SarCNU, a nitosourea analog on a day 1, 5, and 9 oral schedule: a phase I and pharmacokinetic study in patients with advanced solid tumors.  J. Clin. Oncol. 21: 232-240.",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.,,1982,222.63,7,1,96.1,5,neutral,-0.4,-0.4
CN(CCOc1ccc(CC2SC(=O)NC2=O)cc1)c3ccccn3,-0.6214883767462702,1.636041,Rosiglitazone,122320-73-4,0.2,0.65,0.002,5.1,3.9,"Cox PJ, Ryan DA, Hollis FJ, Harris AM, Miller AK, Vousden M, and Cowley H (2000) Absorption, disposition, and metabolism of rosiglitazone, a potent thiazolidinedione insulin sensitizer, in humans.  Drug Metab. Dispos. 28: 772-780.  Miller AK, DiCicco RA, and Freed MI (2002) The effect of ranitidine on the pharmacokinetics of rosiglitazone in healthy adult male volunteers.  Clin. Ther. 24: 1062-1071.  Avandia Product Label",,,1989,357.43,6,1,71.5,7,anionic,3.2,0.25
CN([C@@H]1CCCC[C@H]1N2CCCC2)C(=O)Cc3cccc4c3ccs4,1.584962500721156,3.1481898,RSD921,114419-77-1,1.1,3.0,,5.9,5.5,"Wellington Ribeiro, Demian R. Ifa, Gaetano Corso, John Salmon, Leonardo A. Moraes, Marcos N. Eberlin,  Gilberto de Nucci. Determination of RSD921 in human plasma by high-performance liquid chromatography–tandem mass spectrometry using tri-deuterated RSD921 as internal standard: application to a phase I clinical trial. J. Mass Spectrom. 2001; 36: 1133–1139","PD-123497. Digitized from plot reported but no comparative data offered.  NCA: AUCall (ng*h/mL) = 21.5, AUCinf (ng*h/mL) = 22.3",,1988,356.52,3,0,23.5,4,cationic,4.4,3.2
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3cc(C)on3,-3.8365012677171206,0.08067337,Isoxicam,34552-84-6,0.19,0.07,0.035,44.0,33.0,"Kolle EU and Vollmer KO (1986) Pharmacokinetics of isoxicam following intravenous, intramuscular, oral and rectal administration in healthy volunteers.  Br. J. Clin. Pharmacol. 22(Suppl 2): 135S-141S.  Jolliet P, Simon N, Bree F, Urien S, Pagliara A, Carrupt PA, Testa B, and Tillement JP (1997) Blood-to-brain transfer of various oxicams: effects of plasma binding on their brain delivery.  Pharm. Res. 14: 650-656.",VDss calculated from C vs t data obtained by digitization of plots in the reference.,,1946,335.34,8,2,113.0,2,anionic,2.4,-0.77
CN1C(=C(O)c2ccccc2S1(=O)=O)C(=O)Nc3ncc(C)s3,-3.0588936890535687,0.370589,Meloxicam,71125-38-7,0.15,0.12,0.003,21.0,18.0,"Narjes H, Turck D, Busch U, Heinzel G, and Nehmiz G (1996) Pharmacokinetics and tolerability of meloxicam after i.m. administration.  Br. J. Clin. Pharmacol. 41: 135-139.  Busch U, Heinzel G, and Narjes H (1995) The effect of cholestyramine on the pharmaciokinetics of meloxicam, a new non-steroidal anti-inflammatory drug (NSAID), in man.  Eur. J. Clin. Pharmacol. 48: 269-272.   Turck D, Busch U, Heinzel G, and Narjes H (1997) Clinical pharmacokinetics of meloxicam.  Arz. Forsch. 47: 253-258. Schmid J, Busch U, Heinzel G, Bozler G, Kaschke S, and Kummer M (1995) Meloxicam. Pharmacokinetics and metabolic pattern after intravenous infusion and oral administration to healthy subjects. Drug Metab. Dispos. 23: 1206-1213.  Tuerck D, Schwarz A, Hoeffler D, Narjes HH, Nehmiz G, and Heinzel G (1996) Pharmacokinetics of meloxicam in patients with end-stage renal failure on hemodialysis. A comparison with healthy volunteers.  Eur. J. Clin. Pharmacol.  51: 309-313.",,,1979,351.4,7,2,99.6,2,anionic,2.6,-0.7
CN1C(=C(O)c2sccc2S1(=O)=O)C(=O)Nc3ccccn3,-5.058893689053568,0.48618758,Tenoxicam,59804-37-4,0.19,0.03,0.0085,92.0,67.0,"Heintz RC, Guentert TW, Enrico JF, Dubach UC, Brandt R, and Jeunet FS (1984) Pharmacokinetics of tenoxicam in healthy human volunteers. Eur. J. Rheum. Inflam. 7: 33-44.  Nilsen OG, Aasarod K, Wideroe TE, and Guentert TW (2001) Single- and multiple-dose pharmacokinetics, kidney tolerability and plasma protein binding of tenoxicam in renally impaired patients and healthy volunteers.  Pharmacol. Toxicol. 89: 265-272.","VDss calculated from reported micro rate constants in Heintz, et al..",,1975,337.37,7,2,99.6,2,anionic,2.5,-0.92
CN1C(=O)CN=C(c2ccccc2)c3cc(Cl)ccc13,-1.3959286763311392,1.5356994,Diazepam,439-14-5,1.0,0.38,0.023,44.0,42.0,"Klotz U, Avant GR, Hoyumpa A, Schenker S, and Wilkinson (1975) The effects of age and liver disease on the disposition and elimination of diazepam in adult man.  J. Clin. Invest. 55: 347-359.  Andersson T, Andren K, Cederberg C, Edvardsson G, Heggelund A, and Lundborg P (1990) Effect of omeprazole and cimetidine on plasma diazepam levels.  Eur. J. Clin. Pharmacol. 39: 51-54.  Herman RJ and Wilkinson GR (1996) Disposition of diazepam in young and elderky subjects after acute and chronic dosing.  Br. J. Clin. Pharmacol. 42: 147-155.  Lucek RW and Coutinho CB (1976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.    Molec. Pharmacol. 12:  612-619.  Desmond PV, Roberts RK, Wood AJJ, Dunn GD, Wilkinson GR, and Schenker S (1980) Effect of heparin administration on plasma binding of benzodiazepines.  Br. J. Clin. Pharmacol. 9: 171-175.",,,1961,284.74,3,0,32.7,1,neutral,2.8,2.8
CN1C(=O)CN=C(c2ccccc2F)c3cc(ccc13)N(=O)=O,0.4854268271702416,1.6859573,Flunitrazepam,1622-62-4,1.9,1.4,0.17,23.0,25.0,"Kangas L, Kanto J, and Pakkanen A (1982) A pharmacokinetic and pharmacodynamic study of flunitrazepam.  Int. J. Clin. Pharmacol. Ther. Toxicol.  20: 585-588.  Lucek RW and Coutinho CB (!976) The role of substituents in the hydrophobic binding of the 1,4-benzodiazepines by human plasma proteins.  Molec. Pharmacol. 12:  612-619.",VDss calculated from C vs t data obtained by digitization of the plot included in the reference.,,1963,313.28,6,0,78.5,2,neutral,2.1,2.1
